Empresas ;Total;Tipo
PETROLEO BRASILEIRO S A PETROBRAS;62429487199,59;Pública
EMBRAER S.A.;49377315046,16;Privada
NORTE ENERGIA S/A;25387812308,00;Privada
VALE S.A.;23322611068,82;Privada
CONSTRUTORA NORBERTO ODEBRECHT S.A.;16485722342,05;Privada
ESTADO DE SAO PAULO;14483810163,00;Pública
TRANSPORTADORA ASSOCIADA DE GAS S.A. - TAG;13302144494,00;Privada
SUZANO PAPEL E CELULOSE S.A.;12310916021,61;Privada
TIM CELULAR S.A.;12142315400,00;Privada
TELEFONICA BRASIL S.A.;10265088383,93;Privada
FCA FIAT CHRYSLER AUTOMOVEIS BRASIL LTDA.;10028285892,46;Privada
PETROBRAS NETHERLANDS B V;9877869968,00;Pública
OI MOVEL S.A. - EM RECUPERACAO JUDICIAL;9828307923,00;Privada
ENERGIA SUSTENTAVEL DO BRASIL S.A.;9420000000,00;Pública
KLABIN S.A.;9039094562,98;Privada
CAIXA ECONOMICA FEDERAL;8718841893,00;Pública
SANTO ANTONIO ENERGIA S.A.;8235599214,00;Privada
FINANCIADORA DE ESTUDOS E PROJETOS - FINEP;8000000000,00;Pública
BRASKEM S A;7893077938,18;Privada
ESTADO DO RIO DE JANEIRO;7694631799,36;Pública
JBS S.A.;7661550695,36;Privada
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;7254347892,94;Pública
BANCO DO BRASIL S.A.;7244692185,26;Pública
PORTO DO ACU OPERACOES S.A.;6712593322,00;Privada
ELETROBRAS TERMONUCLEAR S.A. - ELETRONUCLEAR;6181227520,00;Pública
PETROBRAS TRANSPORTE S.A - TRANSPETRO;6063718852,00;Pública
MERCEDES-BENZ DO BRASIL LTDA.;5907241715,95;Privada
CNH INDUSTRIAL BRASIL LTDA.;5849768638,77;Privada
MUNICIPIO DE RIO DE JANEIRO;5622430117,00;Pública
WEG EQUIPAMENTOS ELETRICOS S/A;5537411520,17;Privada
FORD MOTOR COMPANY BRASIL LTDA;5512052854,49;Privada
ANDRADE GUTIERREZ ENGENHARIA S/A;5323292391,79;Privada
VOLKSWAGEN DO BRASIL INDUSTRIA DE VEICULOS AUTOMOTORES;5241436961,00;Privada
XINGU RIO TRANSMISSORA DE ENERGIA S.A.;5213550000,00;Privada
ESTALEIRO ATLANTICO SUL SA;5075045633,44;Privada
ANGLO AMERICAN MINERIO DE FERRO BRASIL S/A;4973119400,00;Privada
ESTADO DO CEARA                              (07954480);4917586520,00;Pública
AMBEV S.A.;4896871187,39;Privada
CONCESSIONARIA DO AEROPORTO INTERNACIONAL DE GUARULHOS;4778803316,00;Privada
BRF - BRASIL FOODS S.A.;4640065076,99;Privada
OI S.A.;4622368431,00;Privada
ESTADO DO MARANHAO;4602790865,00;Pública
COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA;4387508979,00;Pública
FIBRIA CELULOSE S.A.;4258572017,34;Privada
ESTADO DO ESPIRITO SANTO;4119370001,00;Pública
CIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO SABESP;4060234035,00;Pública
MARFRIG GLOBAL FOODS S.A.;4058400250,18;Privada
RUMO MALHA NORTE S.A;4005327773,11;Privada
MRS LOGISTICA S.A;3985488471,99;Privada
RENAULT DO BRASIL S.A;3978501210,27;Privada