,Empresas,Total,Year
0,EMBRAER S.A.,804275149559,2016-2018
1,XINGU RIO TRANSMISSORA DE ENERGIA S.A.,521355000000,2016-2018
2,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL,504000000000,2016-2018
3,VIAPAULISTA S.A.,364538500000,2016-2018
4,SUZANO S.A.,359933300000,2016-2018
5,BELO MONTE TRANSMISSORA DE ENERGIA SPE S.A.,327839600000,2016-2018
6,RUMO MALHA NORTE S.A,242880457200,2016-2018
7,CONCESSIONARIA DE RODOVIA SUL - MATOGROSSENSE S.A,231991500000,2016-2018
8,VOLKSWAGEN DO BRASIL INDUSTRIA DE VEICULOS AUTOMOTORES,192908614400,2016-2018
9,LOGUM LOGISTICA S A,181069600000,2016-2018
10,FCA FIAT CHRYSLER AUTOMOVEIS BRASIL LTDA.,177710110000,2016-2018
11,UTE GNA I GERACAO DE ENERGIA S.A.,176280000000,2016-2018
12,MUNICIPIO DE RIO DE JANEIRO,164523999900,2016-2018
13,CONCESSIONARIA AEROPORTO RIO DE JANEIRO S.A.,161999999900,2016-2018
14,ARGO TRANSMISSAO DE ENERGIA S.A.,154335700000,2016-2018
15,TIM CELULAR S.A.,150000000000,2016-2018
16,LOJAS AMERICANAS S.A.,149064000000,2016-2018
17,COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA,142281274600,2016-2018
18,CENTRAIS ELETRICAS DO PARA S.A. - CELPA,134157600000,2016-2018
19,EMPRESA DE ENERGIA SAO MANOEL S.A.,131400000000,2016-2018
20,VLI MULTIMODAL S.A.,125440303800,2016-2018
21,FRAPORT BRASIL S.A AEROPORTO DE PORTO ALEGRE,125005400000,2016-2018
22,COMPANHIA ENERGETICA DO MARANHAO,121931000000,2016-2018
23,LIGHT SERVICOS DE ELETRICIDADE S A,107470877400,2016-2018
24,GE ENERGIAS RENOVAVEIS LTDA.,107107897644,2016-2018
25,COMPANHIA ENERGETICA SINOP SA,104600000000,2016-2018
26,RENAULT DO BRASIL S.A,104062975000,2016-2018
27,COMPANHIA DO METRO DA BAHIA,104015261400,2016-2018
28,MATA DE SANTA GENEBRA TRANSMISSAO S.A.,101850000000,2016-2018
29,COMPANHIA PAULISTA DE FORCA E LUZ,95339200000,2016-2018
30,PARANAITA RIBEIRAOZINHO TRANSMISSORA DE ENERGIA S.A.,92267276800,2016-2018
31,PETROBRAS TRANSPORTE S.A - TRANSPETRO,91553286200,2016-2018
32,B2W  COMPANHIA DIGITAL,91373600000,2016-2018
33,WEG EQUIPAMENTOS ELETRICOS S/A,91219000000,2016-2018
34,ECO101 CONCESSIONARIA DE RODOVIAS S/A,88214400000,2016-2018
35,COMPANHIA ENERGETICA DE PERNAMBUCO,85814244300,2016-2018
36,TRANSMISSORA JOSE MARIA DE MACEDO DE ELETRICIDADE S.A.,81406400000,2016-2018
37,ELEKTRO REDES S.A.,78511300000,2016-2018
38,AUTOPISTA REGIS BITTENCOURT S/A,77534600000,2016-2018
39,CLARO S.A.,77056837632,2016-2018
40,USINA TERMELETRICA PAMPA SUL S/A,72895000000,2016-2018
41,SCANIA LATIN AMERICA LTDA,72344074496,2016-2018
42,RUMO MALHA SUL S.A,67260004400,2016-2018
43,COAMO AGROINDUSTRIAL COOPERATIVA,63523234100,2016-2018
44,CUTIA EMPREENDIMENTOS EOLICOS S/A,61940500000,2016-2018
45,GERACAO CEU AZUL S.A.,60000000000,2016-2018
46,FORD MOTOR COMPANY BRASIL LTDA,59687857000,2016-2018
47,RGE SUL DISTRIBUIDORA DE ENERGIA S.A.,58245300000,2016-2018
48,TEREOS ACUCAR E ENERGIA BRASIL S.A.,57515516000,2016-2018
49,RIO GRANDE ENERGIA SA,55057100000,2016-2018
0,EMBRAER S.A.,1502037173056,2013-2015
1,PETROBRAS NETHERLANDS B V,987786996800,2013-2015
2,ESTADO DE SAO PAULO,787720000000,2013-2015
3,VALE S.A.,627298095550,2013-2015
4,PORTO DO ACU OPERACOES S.A.,619400600000,2013-2015
5,ESTADO DO RIO DE JANEIRO,603140500000,2013-2015
6,TIM CELULAR S.A.,576393500000,2013-2015
7,CONSTRUTORA NORBERTO ODEBRECHT S.A.,568465894452,2013-2015
8,KLABIN S.A.,501883359200,2013-2015
9,FINANCIADORA DE ESTUDOS E PROJETOS - FINEP,500000000000,2013-2015
10,PETROLEO BRASILEIRO S A PETROBRAS,441054455200,2013-2015
11,ESTADO DO MARANHAO,380100000000,2013-2015
12,CONCESSIONARIA DO AEROPORTO INTERNACIONAL DE GUARULHOS,357880331600,2013-2015
13,CAMARA DE COMERCIALIZACAO DE ENERGIA ELETRICA - CCEE,337887973700,2013-2015
14,ESTADO DE SANTA CATARINA,301000000000,2013-2015
15,MUNICIPIO DE RIO DE JANEIRO,271538945800,2013-2015
16,ANGLO AMERICAN MINERIO DE FERRO BRASIL S/A,265000000000,2013-2015
17,BRASKEM S A,263380000000,2013-2015
18,ESTADO DO CEARA                              (07954480),253389981100,2013-2015
19,CENTRAIS ELETRICAS BRASILEIRAS SA,250000000000,2013-2015
20,CIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO SABESP,247676388100,2013-2015
21,AEROPORTOS BRASIL - VIRACOPOS S.A. EM RECUPERACAO JUDIC,243297672100,2013-2015
22,COMPANHIA DO METRO DA BAHIA,242044560000,2013-2015
23,CSP - COMPANHIA SIDERURGICA DO PECEM,232030000000,2013-2015
24,FCA FIAT CHRYSLER AUTOMOVEIS BRASIL LTDA.,224305499998,2013-2015
25,SANTO ANTONIO ENERGIA S.A.,210042681500,2013-2015
26,ODEBRECHT ENERGIA PARTICIPACOES S/A,204405021700,2013-2015
27,CAIXA ECONOMICA FEDERAL,200000000000,2013-2015
28,VALLOUREC TUBOS DO BRASIL S.A.,198000000000,2013-2015
29,VLI MULTIMODAL S.A.,182319621004,2013-2015
30,SUPERVIA - CONCESSIONARIA DE TRANSPORTE FERROVIARIO S/A,163592700000,2013-2015
31,CNH INDUSTRIAL BRASIL LTDA.,158999195344,2013-2015
32,COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA,153410100000,2013-2015
33,CONCESSIONARIA SPMAR S.A.,152822554300,2013-2015
34,ESTADO DA BAHIA,148769127300,2013-2015
35,ESTADO DO AMAPA,143618702200,2013-2015
36,SUZANO S.A.,143597584420,2013-2015
37,INFRAMERICA CONCESSIONARIA DO AEROPORTO DE BRASILIA S/A,142997815200,2013-2015
38,CENTRAIS ELETRICAS DO PARA S.A. - CELPA,136126409400,2013-2015
39,ANDRADE GUTIERREZ ENGENHARIA S/A,129547693173,2013-2015
40,RUMO MALHA SUL S.A,126388600000,2013-2015
41,ULTRAFERTIL SA,123878302800,2013-2015
42,RANDON SA IMPLEMENTOS E PARTICIPACOES,120480581931,2013-2015
43,COMPANHIA HIDRO ELETRICA DO SAO FRANCISCO,120301400000,2013-2015
44,AES TIETE EOLICA S.A,111920638500,2013-2015
45,COPEL GERACAO E TRANSMISSAO S.A.,111464758400,2013-2015
46,CONCESSIONARIA AEROPORTO RIO DE JANEIRO S.A.,110600000000,2013-2015
47,ENERGISA S.A.,104441478700,2013-2015
48,CBC INDUSTRIAS PESADAS S A,103615050875,2013-2015
49,WEG EQUIPAMENTOS ELETRICOS S/A,103227731207,2013-2015
0,,,2010-2012
1,Tomador de recursos,Total,2010-2012
2,PETROLEO BRASILEIRO S A PETROBRAS,38.718.946.18059,2010-2012
3,NORTE ENERGIA S/A,25.387.812.30800,2010-2012
4,VALE S.A.,9.325.469.83432,2010-2012
5,EMBRAER S.A.,7.289.964.88952,2010-2012
6,CAIXA ECONOMICA FEDERAL,6.718.841.89300,2010-2012
7,BANCO DO BRASIL S.A.,6.205.297.69678,2010-2012
8,ELETROBRAS TERMONUCLEAR S.A. - ELETRONUCLEAR,6.146.256.00000,2010-2012
9,SUZANO PAPEL E CELULOSE S.A.,5.016.459.22098,2010-2012
10,TELEFONICA BRASIL S.A.,4.739.348.24530,2010-2012
11,ESTADO DE SAO PAULO,4.256.620.26900,2010-2012
12,FCA FIAT CHRYSLER AUTOMOVEIS BRASIL LTDA.,4.090.340.30875,2010-2012
13,CONSTRUTORA NORBERTO ODEBRECHT S.A.,4.028.111.08521,2010-2012
14,ESTADO DO ESPIRITO SANTO,3.780.400.00000,2010-2012
15,FINANCIADORA DE ESTUDOS E PROJETOS - FINEP,3.000.000.00000,2010-2012
16,ANDRADE GUTIERREZ ENGENHARIA S/A,2.947.675.48608,2010-2012
17,MARFRIG GLOBAL FOODS S.A.,2.869.771.32620,2010-2012
18,COMPANHIA HIDRELETRICA TELES PIRES,2.862.000.00000,2010-2012
19,ELDORADO BRASIL CELULOSE S/A,2.746.201.63000,2010-2012
20,TIM CELULAR S.A.,2.699.464.00000,2010-2012
21,BRASKEM S A,2.618.350.55520,2010-2012
22,INTERLIGACAO ELETRICA DO MADEIRA S/A,2.540.570.00000,2010-2012
23,CMPC CELULOSE RIOGRANDENSE LTDA,2.504.448.80300,2010-2012
24,TELEMAR NORTE LESTE S/A. - EM RECUPERACAO JUDICIAL,2.430.766.00000,2010-2012
25,AMBEV S.A.,2.420.701.19925,2010-2012
26,ESTADO DE MATO GROSSO,2.269.366.69700,2010-2012
27,ENERGIA SUSTENTAVEL DO BRASIL S.A.,2.200.000.00000,2010-2012
28,ESTALEIRO ATLANTICO SUL SA,2.174.486.87644,2010-2012
29,ESTADO DE MINAS GERAIS,2.102.995.77500,2010-2012
30,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL,2.047.465.35873,2010-2012
31,ESTADO DE PERNAMBUCO,1.916.443.08100,2010-2012
32,WEG EQUIPAMENTOS ELETRICOS S/A,1.912.608.38495,2010-2012
33,JBS S.A.,1.880.983.31790,2010-2012
34,OI S.A. - EM RECUPERACAO JUDICIAL,1.804.975.76000,2010-2012
35,ESTADO DE GOIAS,1.784.310.00000,2010-2012
36,MERCEDES-BENZ DO BRASIL LTDA.,1.763.619.30266,2010-2012
37,MRS LOGISTICA S.A,1.756.774.36562,2010-2012
38,PORTO SUDESTE DO BRASIL SA,1.738.358.71446,2010-2012
39,VOTORANTIM CIMENTOS S.A.,1.632.760.78622,2010-2012
40,CNH INDUSTRIAL BRASIL LTDA.,1.630.162.98923,2010-2012
41,LOGUM LOGISTICA S A,1.586.300.00000,2010-2012
42,OI MOVEL S.A. - EM RECUPERACAO JUDICIAL,1.502.768.00000,2010-2012
43,SERVICO NACIONAL DE APRENDIZAGEM INDUSTRIAL SENAI,1.499.999.99800,2010-2012
44,BRF S.A.,1.480.517.82099,2010-2012
45,ESTADO DO PARA,1.465.775.05800,2010-2012
46,JSL S/A,1.434.593.53112,2010-2012
47,RENAULT DO BRASIL S.A,1.428.393.79996,2010-2012
48,BRENCO - COMPANHIA BRASILEIRA DE ENERGIA RENOVAVEL,1.426.011.70116,2010-2012
49,ESTADO DO CEARA                              (07954480),1.413.004.11800,2010-2012
50,KLABIN S.A.,1.355.503.10898,2010-2012
51,NORTE BRASIL TRANSMISSORA DE ENERGIA S.A.,1.345.000.00000,2010-2012
0,,,2007-2009
1,Tomador de recursos,Total,2007-2009
2,PETROLEO BRASILEIRO S A PETROBRAS,19.299.996.46700,2007-2009
3,TRANSPORTADORA ASSOCIADA DE GAS S.A. - TAG,12.610.442.49400,2007-2009
4,ENERGIA SUSTENTAVEL DO BRASIL S.A.,7.220.000.00000,2007-2009
5,VALE S.A.,6.890.471.60400,2007-2009
6,EMBRAER S.A.,6.784.089.64612,2007-2009
7,SANTO ANTONIO ENERGIA S.A.,6.135.172.39900,2007-2009
8,CONSTRUTORA NORBERTO ODEBRECHT S.A.,5.977.629.01725,2007-2009
9,PETROBRAS TRANSPORTE S.A - TRANSPETRO,4.407.177.53400,2007-2009
10,OI MOVEL S.A. - EM RECUPERACAO JUDICIAL,4.387.308.36900,2007-2009
11,JBS S.A.,4.347.834.38333,2007-2009
12,TELEFONICA BRASIL S.A.,4.291.260.80104,2007-2009
13,BERTIN S.A.,3.406.081.95906,2007-2009
14,COMPANHIA SIDERURGICA NACIONAL,2.924.128.48000,2007-2009
15,ESTALEIRO ATLANTICO SUL SA,2.843.980.20500,2007-2009
16,FIBRIA CELULOSE S.A.,2.749.815.79200,2007-2009
17,ANGLO AMERICAN MINERIO DE FERRO BRASIL S/A,2.323.119.40000,2007-2009
18,COMPANHIA PETROQUIMICA DE PERNAMBUCO-PETROQUIMICASUAPE,2.179.815.00000,2007-2009
19,ALCOA ALUMINIO S/A,2.100.000.00100,2007-2009
20,COMPANHIA BRASILEIRA DE ALUMINIO,1.894.870.52386,2007-2009
21,ESTADO DE SAO PAULO,1.874.000.00000,2007-2009
22,CNH INDUSTRIAL BRASIL LTDA.,1.748.396.29132,2007-2009
23,BRF - BRASIL FOODS S.A.,1.657.709.07200,2007-2009
24,FOZ DO CHAPECO ENERGIA S.A.,1.655.837.99400,2007-2009
25,GENERAL MOTORS DO BRASIL LTDA,1.608.900.30098,2007-2009
26,TERNIUM BRASIL LTDA.,1.487.533.58600,2007-2009
27,WEG EQUIPAMENTOS ELETRICOS S/A,1.456.078.01016,2007-2009
28,RUMO MALHA SUL S.A,1.442.688.25370,2007-2009
29,MRS LOGISTICA S.A,1.437.705.66095,2007-2009
30,ANGLO AMERICAN NIQUEL BRASIL LTDA,1.424.526.82200,2007-2009
31,PORTO DO PECEM GERACAO DE ENERGIA S/A,1.410.199.00000,2007-2009
32,FCA FIAT CHRYSLER AUTOMOVEIS BRASIL LTDA.,1.383.417.01800,2007-2009
33,INDUSTRIAS ROMI S A,1.338.028.35506,2007-2009
34,TELEMAR PARTICIPAÇÕES S.A.,1.239.615.50000,2007-2009
35,COMPANHIA DE SANEAMENTO DE MINAS GERAIS - COPASA MG,1.215.872.65100,2007-2009
36,SCANIA LATIN AMERICA LTDA,1.161.491.76053,2007-2009
37,FORD MOTOR COMPANY BRASIL LTDA,1.137.540.00000,2007-2009
38,MERCEDES-BENZ DO BRASIL LTDA.,1.130.958.74700,2007-2009
39,MARFRIG GLOBAL FOODS S.A.,1.101.167.04400,2007-2009
40,CTEEP - COMPANHIA DE TRANSMISSAO DE ENERGIA ELETRICA PA,1.093.352.38200,2007-2009
41,BRENCO - COMPANHIA BRASILEIRA DE ENERGIA RENOVAVEL,1.090.117.51100,2007-2009
42,BRASKEM S A,1.087.931.61800,2007-2009
43,LIGHT SERVICOS DE ELETRICIDADE S A,1.078.288.96000,2007-2009
44,VALEPAR S.A.,1.066.860.29400,2007-2009
45,COMPANHIA ENERGETICA ESTREITO,1.048.967.20000,2007-2009
46,ITAQUI GERACAO DE ENERGIA S/A,1.038.098.16200,2007-2009
47,FURNAS-CENTRAIS ELETRICAS S.A.,1.034.410.40000,2007-2009
48,GERDAU ACOS LONGOS S.A.,1.015.946.99204,2007-2009
49,RENAULT DO BRASIL S.A,1.012.588.51335,2007-2009
50,ESTADO DO ACRE,996.242.33800,2007-2009
51,USINAS SIDERURGICAS DE MINAS GERAIS S/A. USIMINAS,976.173.44108,2007-2009
